store_name,igive_url,donation_rate
1 Stop Florists,https://www.iGive.com/1stopflorists,2.8%
1-800 CONTACTS,https://www.iGive.com/1800contacts,5.6%
1-800-Baskets.com,https://www.iGive.com/1800baskets,2.4%
1-800-FLOWERS.COM,https://www.iGive.com/1-800-flowers,2.0%
1-800-GOT-JUNK?,https://www.iGive.com/1-800-Got-Junk,1.2%
1-800-PetMeds,https://www.iGive.com/1-800-petmeds,3.2%
123-reg,https://www.iGive.com/123-reg,2.0%
123inkjets,https://www.iGive.com/123-inkjets,2.0%
180 Nutrition,https://www.iGive.com/180nutrition,2.8%
1Password,https://www.iGive.com/1password,Special Rate
2Modern,https://www.iGive.com/2modern,2.0%
2nd & Charles,https://www.iGive.com/2ndandcharles,3.2%
2XU,https://www.iGive.com/2xu,3.2%
4 Wheel Drive,https://www.iGive.com/4-wheel-drive,1.6%
5 Star Nutrition,https://www.iGive.com/5starnutrition,4.0%
686,https://www.iGive.com/686,3.2%
7 For All Mankind,https://www.iGive.com/7-for-all-mankind,1.6%
A Pea in the Pod,https://www.iGive.com/apeainthepod,0.8%
A Pup Above,https://www.iGive.com/apupabove,2.8%
AAA - Auto Club,https://www.iGive.com/mwg.aaa,4.0%
ABBYY,https://www.iGive.com/abbyy,12.0%
ABCmouse.com,https://www.iGive.com/ABC-mouse,Special Rate
AbeBooks.co.uk,https://www.iGive.com/abebooks-uk,2.0%
AbeBooks.com,https://www.iGive.com/abebooks,0.8%
Abt Electronics,https://www.iGive.com/abt,0.4%
Academy Sports & Outdoors,https://www.iGive.com/academy,0.8%
Ace Hardware,https://www.iGive.com/ace,1.6%
Adagio Teas,https://www.iGive.com/adagio,2.0%
Adam & Eve,https://www.iGive.com/adam-and-eve,2.0%
AdGem,https://www.iGive.com/adgem,Special Rate
Adorama,https://www.iGive.com/adorama,0.8%
Adore Me,https://www.iGive.com/adore-me,4.0%
Adrianna Papell,https://www.iGive.com/adrianna-papell,1.2%
Advance Auto Parts,https://www.iGive.com/Advance-Auto-Parts,1.6%
Adventure Academy,https://www.iGive.com/adventure-academy,Special Rate
Aerie,https://www.iGive.com/ae,0.4%
Aeroflow Healthcare,https://www.iGive.com/aeroflow,3.2%
Aeropostale,https://www.iGive.com/aeropostale,1.6%
AG Jeans Outlet,https://www.iGive.com/AG-Jeans-Outlet,3.2%
Agoda,https://www.iGive.com/agoda,2.4%
AHAVA,https://www.iGive.com/ahava,1.2%
Air Filters Delivered,https://www.iGive.com/air-filters-delivered,0.4%
Airport Parking,https://www.iGive.com/airport-parking,8.0%
Airport Parking Reservations,https://www.iGive.com/airport-parking-reservations,Special Rate
Airvape,https://www.iGive.com/airvape,6.0%
AJ Madison,https://www.iGive.com/ajmadison,1.2%
Alala,https://www.iGive.com/alala,2.8%
Alamo Rent a Car,https://www.iGive.com/alamo,1.6%
ALDO,https://www.iGive.com/aldo,2.4%
Alen Purifies,https://www.iGive.com/alen-corp,0.8%
Alex and Ani,https://www.iGive.com/alex-and-ani,3.2%
Alibaba,https://www.iGive.com/alibaba,1.6%
Alibris,https://www.iGive.com/alibris,2.0%
