store_name,category,donation_rate,igive_url,actual_store_url
1 Stop Florists,"Food, Wine & Gifts",2.8%,https://www.iGive.com/1stopflorists,Manual Check Required
1-800 CONTACTS,"Health, Beauty & Personal Care",5.6%,https://www.iGive.com/1800contacts,Manual Check Required
1-800-Baskets.com,"Food, Wine & Gifts",2.4%,https://www.iGive.com/1800baskets,https://www.1800baskets.com
1-800-FLOWERS.COM,"Food, Wine & Gifts",2.0%,https://www.iGive.com/1-800-flowers,https://www.1800flowers.com
1-800-GOT-JUNK?,General Retail & Shopping,1.2%,https://www.iGive.com/1-800-Got-Junk,https://www.1800gotjunk.com
1-800-PetMeds,Pets & Animals,3.2%,https://www.iGive.com/1-800-petmeds,https://www.1800petmeds.com
123-reg,General Retail & Shopping,2.0%,https://www.iGive.com/123-reg,https://www.123-reg.co.uk
123inkjets,"Electronics, Software & Office",2.0%,https://www.iGive.com/123-inkjets,https://www.123inkjets.com
180 Nutrition,"Health, Beauty & Personal Care",2.8%,https://www.iGive.com/180nutrition,Manual Check Required
1Password,General Retail & Shopping,Special Rate,https://www.iGive.com/1password,https://1password.com
2Modern,General Retail & Shopping,2.0%,https://www.iGive.com/2modern,https://www.2modern.com
2nd & Charles,General Retail & Shopping,3.2%,https://www.iGive.com/2ndandcharles,https://www.2ndandcharles.com
2XU,General Retail & Shopping,3.2%,https://www.iGive.com/2xu,https://2xu.com
4 Wheel Drive,General Retail & Shopping,1.6%,https://www.iGive.com/4-wheel-drive,https://www.4wheeldrive.com
5 Star Nutrition,"Health, Beauty & Personal Care",4.0%,https://www.iGive.com/5starnutrition,https://5starnutrition.com
686,General Retail & Shopping,3.2%,https://www.iGive.com/686,https://www.686.com
7 For All Mankind,General Retail & Shopping,1.6%,https://www.iGive.com/7-for-all-mankind,https://7forallmankind.com
A Pea in the Pod,General Retail & Shopping,0.8%,https://www.iGive.com/apeainthepod,https://apeainthepod.com
A Pup Above,Pets & Animals,2.8%,https://www.iGive.com/apupabove,https://apupabove.com
AAA - Auto Club,"Travel, Hotels & Vehicles",4.0%,https://www.iGive.com/mwg.aaa,https://www.mwgaaa.com
ABBYY,General Retail & Shopping,12.0%,https://www.iGive.com/abbyy,https://www.abbyy.com
ABCmouse.com,General Retail & Shopping,Special Rate,https://www.iGive.com/ABC-mouse,https://www.abcmouse.com
AbeBooks.co.uk,"Toys, Crafts, Books & Music",2.0%,https://www.iGive.com/abebooks-uk,Manual Check Required
AbeBooks.com,"Toys, Crafts, Books & Music",0.8%,https://www.iGive.com/abebooks,https://www.abebooks.com
Abt Electronics,"Electronics, Software & Office",0.4%,https://www.iGive.com/abt,Manual Check Required
Academy Sports & Outdoors,"Sports, Outdoors & Fitness",0.8%,https://www.iGive.com/academy,Manual Check Required
Ace Hardware,"Electronics, Software & Office",1.6%,https://www.iGive.com/ace,https://www.ace.com
Adagio Teas,"Food, Wine & Gifts",2.0%,https://www.iGive.com/adagio,https://www.adagio.com
Adam & Eve,General Retail & Shopping,2.0%,https://www.iGive.com/adam-and-eve,https://www.adameve.com
AdGem,General Retail & Shopping,Special Rate,https://www.iGive.com/adgem,https://adgem.com
Adorama,General Retail & Shopping,0.8%,https://www.iGive.com/adorama,Manual Check Required
Adore Me,General Retail & Shopping,4.0%,https://www.iGive.com/adore-me,https://www.adoreme.com
Adrianna Papell,General Retail & Shopping,1.2%,https://www.iGive.com/adrianna-papell,https://www.adriannapapell.com
Advance Auto Parts,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/Advance-Auto-Parts,Manual Check Required
Adventure Academy,General Retail & Shopping,Special Rate,https://www.iGive.com/adventure-academy,https://www.adventureacademy.com
Aerie,General Retail & Shopping,0.4%,https://www.iGive.com/ae,Manual Check Required
Aeroflow Healthcare,"Health, Beauty & Personal Care",3.2%,https://www.iGive.com/aeroflow,https://www.aeroflow.com
Aeropostale,General Retail & Shopping,1.6%,https://www.iGive.com/aeropostale,Manual Check Required
AG Jeans Outlet,"Apparel, Shoes & Fashion",3.2%,https://www.iGive.com/AG-Jeans-Outlet,https://www.agjeansoutlet.com
Agoda,General Retail & Shopping,2.4%,https://www.iGive.com/agoda,https://www.agoda.com
AHAVA,General Retail & Shopping,1.2%,https://www.iGive.com/ahava,https://www.ahava.com
Air Filters Delivered,General Retail & Shopping,0.4%,https://www.iGive.com/air-filters-delivered,https://www.airfiltersdelivered.com
Airport Parking,General Retail & Shopping,8.0%,https://www.iGive.com/airport-parking,https://airportparking.com
Airport Parking Reservations,General Retail & Shopping,Special Rate,https://www.iGive.com/airport-parking-reservations,https://airportparkingreservations.com
Airvape,General Retail & Shopping,6.0%,https://www.iGive.com/airvape,https://airvapeusa.com
AJ Madison,General Retail & Shopping,1.2%,https://www.iGive.com/ajmadison,Manual Check Required
Alala,General Retail & Shopping,2.8%,https://www.iGive.com/alala,https://www.alala.com
Alamo Rent a Car,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/alamo,Manual Check Required
ALDO,General Retail & Shopping,2.4%,https://www.iGive.com/aldo,Manual Check Required
Alen Purifies,General Retail & Shopping,0.8%,https://www.iGive.com/alen-corp,https://alen.com
Alex and Ani,General Retail & Shopping,3.2%,https://www.iGive.com/alex-and-ani,https://www.alexandani.com
