store_name,igive_url,donation_rate,actual_store_url
1 Stop Florists,https://www.iGive.com/1stopflorists,2.8%,Manual Check Required
1-800 CONTACTS,https://www.iGive.com/1800contacts,5.6%,Manual Check Required
1-800-Baskets.com,https://www.iGive.com/1800baskets,2.4%,https://www.1800baskets.com
1-800-FLOWERS.COM,https://www.iGive.com/1-800-flowers,2.0%,https://www.1800flowers.com
1-800-GOT-JUNK?,https://www.iGive.com/1-800-Got-Junk,1.2%,https://www.1800gotjunk.com
1-800-PetMeds,https://www.iGive.com/1-800-petmeds,3.2%,https://www.1800petmeds.com
123-reg,https://www.iGive.com/123-reg,2.0%,https://www.123-reg.co.uk
123inkjets,https://www.iGive.com/123-inkjets,2.0%,https://www.123inkjets.com
180 Nutrition,https://www.iGive.com/180nutrition,2.8%,Manual Check Required
1Password,https://www.iGive.com/1password,Special Rate,https://1password.com
2Modern,https://www.iGive.com/2modern,2.0%,https://www.2modern.com
2nd & Charles,https://www.iGive.com/2ndandcharles,3.2%,https://www.2ndandcharles.com
2XU,https://www.iGive.com/2xu,3.2%,https://2xu.com
4 Wheel Drive,https://www.iGive.com/4-wheel-drive,1.6%,https://www.4wheeldrive.com
5 Star Nutrition,https://www.iGive.com/5starnutrition,4.0%,https://5starnutrition.com
686,https://www.iGive.com/686,3.2%,https://www.686.com
7 For All Mankind,https://www.iGive.com/7-for-all-mankind,1.6%,https://7forallmankind.com
A Pea in the Pod,https://www.iGive.com/apeainthepod,0.8%,https://apeainthepod.com
A Pup Above,https://www.iGive.com/apupabove,2.8%,https://apupabove.com
AAA - Auto Club,https://www.iGive.com/mwg.aaa,4.0%,https://www.mwgaaa.com
ABBYY,https://www.iGive.com/abbyy,12.0%,https://www.abbyy.com
ABCmouse.com,https://www.iGive.com/ABC-mouse,Special Rate,https://www.abcmouse.com
AbeBooks.co.uk,https://www.iGive.com/abebooks-uk,2.0%,Manual Check Required
AbeBooks.com,https://www.iGive.com/abebooks,0.8%,https://www.abebooks.com
Abt Electronics,https://www.iGive.com/abt,0.4%,Manual Check Required
Academy Sports & Outdoors,https://www.iGive.com/academy,0.8%,Manual Check Required
Ace Hardware,https://www.iGive.com/ace,1.6%,https://www.ace.com
Adagio Teas,https://www.iGive.com/adagio,2.0%,https://www.adagio.com
Adam & Eve,https://www.iGive.com/adam-and-eve,2.0%,https://www.adameve.com
AdGem,https://www.iGive.com/adgem,Special Rate,https://adgem.com
Adorama,https://www.iGive.com/adorama,0.8%,Manual Check Required
Adore Me,https://www.iGive.com/adore-me,4.0%,https://www.adoreme.com
Adrianna Papell,https://www.iGive.com/adrianna-papell,1.2%,https://www.adriannapapell.com
Advance Auto Parts,https://www.iGive.com/Advance-Auto-Parts,1.6%,Manual Check Required
Adventure Academy,https://www.iGive.com/adventure-academy,Special Rate,https://www.adventureacademy.com
Aerie,https://www.iGive.com/ae,0.4%,Manual Check Required
Aeroflow Healthcare,https://www.iGive.com/aeroflow,3.2%,https://www.aeroflow.com
Aeropostale,https://www.iGive.com/aeropostale,1.6%,Manual Check Required
AG Jeans Outlet,https://www.iGive.com/AG-Jeans-Outlet,3.2%,https://www.agjeansoutlet.com
Agoda,https://www.iGive.com/agoda,2.4%,https://www.agoda.com
AHAVA,https://www.iGive.com/ahava,1.2%,https://www.ahava.com
Air Filters Delivered,https://www.iGive.com/air-filters-delivered,0.4%,https://www.airfiltersdelivered.com
Airport Parking,https://www.iGive.com/airport-parking,8.0%,https://airportparking.com
Airport Parking Reservations,https://www.iGive.com/airport-parking-reservations,Special Rate,https://airportparkingreservations.com
Airvape,https://www.iGive.com/airvape,6.0%,https://airvapeusa.com
AJ Madison,https://www.iGive.com/ajmadison,1.2%,Manual Check Required
Alala,https://www.iGive.com/alala,2.8%,https://www.alala.com
Alamo Rent a Car,https://www.iGive.com/alamo,1.6%,Manual Check Required
ALDO,https://www.iGive.com/aldo,2.4%,Manual Check Required
Alen Purifies,https://www.iGive.com/alen-corp,0.8%,https://alen.com
Alex and Ani,https://www.iGive.com/alex-and-ani,3.2%,https://www.alexandani.com
